cluster_name,hub_name,region,dock_number,backlogs,backlogs_ts,active,created_at
Tanza Hub,Tanza Hub,GMA SOL,Dock 1,,,,
Naic Hub,Naic Hub,GMA SOL,Dock 2,,,,
"Mambugan Hub,Redgold Hub",Mambugan Hub,MM/GMA,Dock 3,,,,
"Mambugan Hub,Redgold Hub",Redgold Hub,MM/GMA,Dock 3,,,,
"San Mateo Hub,OP Silangan San Mateo Hub",OP Silangan San Mateo Hub,MM/GMA,Dock 4,,,,
"San Mateo Hub,OP Silangan San Mateo Hub",San Mateo Hub,MM/GMA,Dock 4,,,,
Upper Antipolo Hub,Upper Antipolo Hub,MM/GMA,Dock 5,,,,
MLQ Hub,MLQ Hub,MM/GMA,Dock 5,,,,
"Upper Antipolo Hub 2,Teresa Rizal Hub",Upper Antipolo Hub 2,MM/GMA,Dock 6,,,,
"Upper Antipolo Hub 2,Teresa Rizal Hub",Teresa Rizal Hub,MM/GMA,Dock 6,,,,
Mambog Hub,Mambog Hub,GMA SOL,Dock 7,,,,
Bacoor Hub,Bacoor Hub,GMA SOL,Dock 8,,,,
San Isidro Rodriguez Hub,San Isidro Rodriguez Hub,MM/GMA,Dock 09,,,,
"Rodriguez Hub,Rodriguez Hub 2",Rodriguez Hub,MM/GMA,Dock 10,,,,
"Rodriguez Hub,Rodriguez Hub 2",Rodriguez Hub 2,MM/GMA,,,,,
Baltao Hub,Baltao Hub,MM/GMA,Dock 11,,,,
Taytay Hub,Taytay Hub,MM/GMA,Dock 11,,,,
Angono Hub,Angono Hub,MM/GMA,Dock 12,,,,
Binangonan Hub,Binangonan Hub,MM/GMA,Dock 13,,,,
"Tanay Hub,OP Pililla Rizal Hub",Tanay Hub,MM/GMA,Dock 14,,,,
"Tanay Hub,OP Pililla Rizal Hub",OP Pililla Rizal Hub,MM/GMA,Dock 14,,,,
Morong Rizal Hub,Morong Rizal Hub,GMA SOL,Dock 15,,,,
"Silang Hub,Maguyam Hub",Silang Hub,GMA SOL,Dock 16,,,,
"Silang Hub,Maguyam Hub",Maguyam Hub,GMA SOL,,,,,
Biclatan Hub,Biclatan Hub,GMA SOL,Dock 16,,,,
General Trias Hub,General Trias Hub,GMA SOL,Dock 17,,,,
Malagasang Hub,Malagasang Hub,GMA SOL,Dock 18,,,,
Baras Hub,Baras Hub,MM/GMA,Dock 19,,,,
"Antipolo Hub,Inarawan Hub",Antipolo Hub,MM/GMA,Dock 19,,,,
"Antipolo Hub,Inarawan Hub",Inarawan Hub,MM/GMA,,,,,
"Carmona Hub,GMA Hub",Carmona Hub,GMA SOL,Dock 20,,,,
"Carmona Hub,GMA Hub",GMA Hub,GMA SOL,Dock 20,,,,
North Tanza Hub,North Tanza Hub,GMA SOL,Dock 21,,,,
Trece Martires Hub,Trece Martires Hub,GMA SOL,Dock 22,,,,
SOC 8,SOC 8,InterSOC,Dock 22,,,,
Cabuyao Hub,Cabuyao Hub,GMA SOL,Dock 23,,,,
San Isidro Hub,San Isidro Hub,GMA SOL,Dock 23,,,,
"Cainta Hub,Q Plaza Hub",Cainta Hub,MM/GMA,Dock 24,,,,
"Cainta Hub,Q Plaza Hub",Q Plaza Hub,MM/GMA,Dock 24,,,,
"San Pablo Hub,SP Del Remedio Hub",SP Del Remedio Hub,GMA SOL,Dock 25,,,,
"San Pablo Hub,SP Del Remedio Hub",San Pablo Hub,GMA SOL,Dock 25,,,,
"Tiaong Hub,Candelaria Hub 2",Tiaong Hub,SOL,Dock 26,,,,
